Nama Provinsi,Harga_2021,Harga_2025,Inflasi_Total_%
DKI JAKARTA,23579.28409090909,34986.607575757575,48.38
BANTEN,20816.11287878788,29034.977272727276,39.48
SUMATERA BARAT,19710.631818181817,27319.780303030304,38.6
SULAWESI BARAT,18905.93181818182,25908.128787878788,37.04
SULAWESI TENGGARA,21990.60606060606,29396.272727272724,33.68
SUMATERA SELATAN,20021.015151515152,26546.840909090908,32.59
ACEH,19767.440909090907,26105.395454545458,32.06
NUSA TENGGARA BARAT,20361.655303030304,26880.98106060606,32.02
RIAU,21436.590909090908,28170.82575757576,31.41
KALIMANTAN UTARA,26448.428787878787,34392.4946969697,30.04
DI YOGYAKARTA,20018.19696969697,25703.44696969697,28.4
SULAWESI SELATAN,18731.780303030304,24050.272727272724,28.39
BALI,20878.47272727273,26439.204545454544,26.63
JAWA TENGAH,20410.348484848484,25785.848484848484,26.34
KEPULAUAN BANGKA BELITUNG,24229.34015151515,30527.437878787878,25.99
LAMPUNG,20447.257575757576,25628.31818181818,25.34
JAWA TIMUR,19332.163636363635,24217.962121212124,25.27
GORONTALO,23827.783333333336,29109.636363636364,22.17
KALIMANTAN BARAT,25738.299242424244,31361.578787878792,21.85
BENGKULU,21608.287878787876,26326.454545454544,21.83
JAWA BARAT,22260.51590909091,26896.772727272724,20.83
JAMBI,21931.75757575758,26416.272727272724,20.45
SULAWESI UTARA,24797.545454545456,29695.31818181818,19.75
KALIMANTAN SELATAN,23307.410606060603,27891.164393939394,19.67
KALIMANTAN TIMUR,25282.386363636364,29993.22272727273,18.63
PAPUA,30010.1946969697,35405.32045454546,17.98
SULAWESI TENGAH,24395.833333333332,28560.590909090908,17.07
SUMATERA UTARA,22564.871212121212,26009.810606060608,15.27
PAPUA BARAT,30572.41212121212,35229.704545454544,15.23
KALIMANTAN TENGAH,26253.74166666667,30171.765151515152,14.92
MALUKU,29052.10606060606,32514.853787878787,11.92
KEPULAUAN RIAU,26665.371212121212,29622.492424242428,11.09
NUSA TENGGARA TIMUR,26054.257575757572,28681.454545454544,10.08
MALUKU UTARA,30717.066666666666,33300.90075757576,8.41
